Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD,Comment
"U8"	,"M2.5孔"	,"M2.5孔"	,"689mil"	,"689mil"	,"690mil"	,"690mil"	,"689mil"	,"689mil"	,"T"	,"0"	,"No"	,"M2.5孔"	,
"D2"	,"DSK310"	,"SOD-123FL_L3.0-W1.8-LS3.7-R-RD"	,"-325mil"	,"-100mil"	,"-325mil"	,"-100mil"	,"-325mil"	,"-168.9mil"	,"T"	,"270"	,"Yes"	,"DSK310"	,
"C17"	,"CL05B104KB54PNC"	,"C0402"	,"420mil"	,"530mil"	,"420mil"	,"530mil"	,"420mil"	,"551.5mil"	,"T"	,"270"	,"Yes"	,"100nF"	,
"C25"	,"CL05B104KB54PNC"	,"C0402"	,"-400mil"	,"328.5mil"	,"-400mil"	,"328.5mil"	,"-400mil"	,"350mil"	,"B"	,"270"	,"Yes"	,"100nF"	,
"R20"	,"0402WGF1002TCE"	,"R0402"	,"60mil"	,"510mil"	,"60mil"	,"510mil"	,"43mil"	,"510mil"	,"T"	,"0"	,"Yes"	,"10kΩ"	,
"R19"	,"0402WGF1002TCE"	,"R0402"	,"210mil"	,"240mil"	,"210mil"	,"240mil"	,"227mil"	,"240mil"	,"B"	,"180"	,"Yes"	,"10kΩ"	,
"C10"	,"CL05B104KB54PNC"	,"C0402"	,"50mil"	,"-250mil"	,"50mil"	,"-250mil"	,"50mil"	,"-228.5mil"	,"B"	,"270"	,"Yes"	,"100nF"	,
"C3"	,"CL05B104KB54PNC"	,"C0402"	,"415mil"	,"-455mil"	,"415mil"	,"-455mil"	,"415mil"	,"-433.5mil"	,"B"	,"270"	,"Yes"	,"100nF"	,
"C1"	,"CL05B104KB54PNC"	,"C0402"	,"480mil"	,"-160mil"	,"480mil"	,"-160mil"	,"458.5mil"	,"-160mil"	,"B"	,"0"	,"Yes"	,"100nF"	,
"C6"	,"CL05B104KB54PNC"	,"C0402"	,"203.5mil"	,"-415mil"	,"203.5mil"	,"-415mil"	,"225mil"	,"-415mil"	,"B"	,"180"	,"Yes"	,"100nF"	,
"C7"	,"CL05B104KB54PNC"	,"C0402"	,"298.5mil"	,"-320mil"	,"298.5mil"	,"-320mil"	,"320mil"	,"-320mil"	,"B"	,"180"	,"Yes"	,"100nF"	,
"R1"	,"RTT02274JTH"	,"R0402"	,"210mil"	,"-460mil"	,"210mil"	,"-460mil"	,"193mil"	,"-460mil"	,"B"	,"0"	,"Yes"	,"270kΩ"	,
"R2"	,"ERJU2RD5102X"	,"R0402"	,"210mil"	,"-510mil"	,"210mil"	,"-510mil"	,"193mil"	,"-510mil"	,"B"	,"0"	,"Yes"	,"51kΩ"	,
"R4"	,"RMC 0402 100K F N"	,"R0402"	,"300mil"	,"-370mil"	,"300mil"	,"-370mil"	,"283mil"	,"-370mil"	,"B"	,"0"	,"Yes"	,"100kΩ"	,
"R3"	,"0402WGF4702TCE"	,"R0402"	,"30mil"	,"-340mil"	,"30mil"	,"-340mil"	,"30mil"	,"-323mil"	,"B"	,"270"	,"Yes"	,"47kΩ"	,
"R7"	,"ERJ2RKF5101X"	,"R0402"	,"-350mil"	,"-350mil"	,"-350mil"	,"-350mil"	,"-350mil"	,"-367mil"	,"B"	,"90"	,"Yes"	,"5.1kΩ"	,
"R9"	,"ERJ2RKF5101X"	,"R0402"	,"-290mil"	,"-350mil"	,"-290mil"	,"-350mil"	,"-290mil"	,"-333mil"	,"B"	,"270"	,"Yes"	,"5.1kΩ"	,
"R10"	,"ERJ2RKF5101X"	,"R0402"	,"-230mil"	,"-350mil"	,"-230mil"	,"-350mil"	,"-230mil"	,"-333mil"	,"B"	,"270"	,"Yes"	,"5.1kΩ"	,
"R8"	,"0402WGF1200TCE"	,"R0402"	,"-190mil"	,"440mil"	,"-190mil"	,"440mil"	,"-207mil"	,"440mil"	,"B"	,"0"	,"Yes"	,"120Ω"	,
"R5"	,"0402WGJ0220TCE"	,"R0402"	,"-287mil"	,"70mil"	,"-287mil"	,"70mil"	,"-270mil"	,"70mil"	,"T"	,"180"	,"Yes"	,"22Ω"	,
"R6"	,"0402WGJ0220TCE"	,"R0402"	,"-287mil"	,"120mil"	,"-287mil"	,"120mil"	,"-270mil"	,"120mil"	,"T"	,"180"	,"Yes"	,"22Ω"	,
"C16"	,"CL05B104KB54PNC"	,"C0402"	,"60mil"	,"550mil"	,"60mil"	,"550mil"	,"38.5mil"	,"550mil"	,"T"	,"0"	,"Yes"	,"100nF"	,
"C18"	,"CL05B104KB54PNC"	,"C0402"	,"-10mil"	,"280mil"	,"-10mil"	,"280mil"	,"-31.5mil"	,"280mil"	,"T"	,"0"	,"Yes"	,"100nF"	,
"C19"	,"CL05B104KB54PNC"	,"C0402"	,"420mil"	,"160mil"	,"420mil"	,"160mil"	,"420mil"	,"138.5mil"	,"T"	,"90"	,"Yes"	,"100nF"	,
"C12"	,"CL05B104KB54PNC"	,"C0402"	,"-50mil"	,"340mil"	,"-50mil"	,"340mil"	,"-50mil"	,"318.5mil"	,"B"	,"90"	,"Yes"	,"100nF"	,
"C20"	,"GCM155R71H103KA55D"	,"C0402"	,"-10mil"	,"-250mil"	,"-10mil"	,"-250mil"	,"-10mil"	,"-271.5mil"	,"T"	,"90"	,"Yes"	,"10nF"	,
"C22"	,"CL05B104KB54PNC"	,"C0402"	,"0mil"	,"-90mil"	,"0mil"	,"-90mil"	,"-21.5mil"	,"-90mil"	,"T"	,"0"	,"Yes"	,"100nF"	,
"R12"	,"ERJ2RKF5101X"	,"R0402"	,"-157mil"	,"-165mil"	,"-157mil"	,"-165mil"	,"-174.1mil"	,"-165mil"	,"B"	,"0"	,"Yes"	,"5.1kΩ"	,
"C26"	,"CL05B104KB54PNC"	,"C0402"	,"-260mil"	,"250mil"	,"-260mil"	,"250mil"	,"-260mil"	,"271.5mil"	,"T"	,"270"	,"Yes"	,"100nF"	,
"C24"	,"CL05B104KB54PNC"	,"C0402"	,"-400mil"	,"-10mil"	,"-400mil"	,"-10mil"	,"-400mil"	,"11.5mil"	,"B"	,"270"	,"Yes"	,"100nF"	,
"R17"	,"0402WGJ0220TCE"	,"R0402"	,"-200mil"	,"-90mil"	,"-200mil"	,"-90mil"	,"-200mil"	,"-73mil"	,"T"	,"270"	,"Yes"	,"22Ω"	,
"R18"	,"0402WGJ0220TCE"	,"R0402"	,"-250mil"	,"-90mil"	,"-250mil"	,"-90mil"	,"-250mil"	,"-73mil"	,"T"	,"270"	,"Yes"	,"22Ω"	,
"R11"	,"0402WGF1002TCE"	,"R0402"	,"0mil"	,"370mil"	,"0mil"	,"370mil"	,"17mil"	,"370mil"	,"T"	,"180"	,"Yes"	,"10kΩ"	,
"U3"	,"MAX3051EKA+T"	,"SOT-23-8_L3.0-W1.7-P0.65-LS2.8-TL"	,"-170mil"	,"340mil"	,"-170mil"	,"340mil"	,"-122.3mil"	,"378.4mil"	,"B"	,"180"	,"Yes"	,"MAX3051EKA+T"	,
"C13"	,"CL05B104KB54PNC"	,"C0402"	,"-75mil"	,"-380mil"	,"-75mil"	,"-380mil"	,"-75mil"	,"-401.5mil"	,"B"	,"90"	,"Yes"	,"100nF"	,
"C14"	,"GRM188B31A335KE15D"	,"C0603"	,"-20mil"	,"-390mil"	,"-20mil"	,"-390mil"	,"-20mil"	,"-417.6mil"	,"B"	,"90"	,"Yes"	,"3.3uF"	,
"C21"	,"GRM1555C1H200JA01D"	,"C0402"	,"420mil"	,"60mil"	,"420mil"	,"60mil"	,"420mil"	,"38.5mil"	,"T"	,"90"	,"Yes"	,"20pF"	,
"C15"	,"GRM1555C1H200JA01D"	,"C0402"	,"170mil"	,"60mil"	,"170mil"	,"60mil"	,"170mil"	,"38.5mil"	,"T"	,"90"	,"Yes"	,"20pF"	,
"X2"	,"CJ13-080001210C30"	,"CRYSTAL-SMD_4P-L3.2-W2.5-BL-1"	,"290mil"	,"80mil"	,"290mil"	,"80mil"	,"333.3mil"	,"114.5mil"	,"T"	,"180"	,"Yes"	,"8MHz"	,
"U9"	,"M2.5孔"	,"M2.5孔"	,"-689mil"	,"689mil"	,"-689mil"	,"689mil"	,"-689mil"	,"689mil"	,"T"	,"0"	,"No"	,"M2.5孔"	,
"U10"	,"M2.5孔"	,"M2.5孔"	,"-689mil"	,"-689mil"	,"-689mil"	,"-689mil"	,"-689mil"	,"-689mil"	,"T"	,"0"	,"No"	,"M2.5孔"	,
"U7"	,"M2.5孔"	,"M2.5孔"	,"689mil"	,"-689mil"	,"689mil"	,"-689mil"	,"689mil"	,"-689mil"	,"T"	,"0"	,"No"	,"M2.5孔"	,
"R13"	,"0603WAF1200T5E"	,"R0603"	,"-5mil"	,"-25mil"	,"-5mil"	,"-25mil"	,"24.7mil"	,"-25mil"	,"B"	,"180"	,"Yes"	,"120Ω"	,
"R14"	,"0603WAF1200T5E"	,"R0603"	,"-5.3mil"	,"-75mil"	,"-5.3mil"	,"-75mil"	,"24.3mil"	,"-75mil"	,"B"	,"180"	,"Yes"	,"120Ω"	,
"R15"	,"0603WAF1200T5E"	,"R0603"	,"-5mil"	,"75mil"	,"-5mil"	,"75mil"	,"24.7mil"	,"75mil"	,"B"	,"180"	,"Yes"	,"120Ω"	,
"R16"	,"0603WAF1200T5E"	,"R0603"	,"-5mil"	,"25mil"	,"-5mil"	,"25mil"	,"24.7mil"	,"25mil"	,"B"	,"180"	,"Yes"	,"120Ω"	,
